,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
0,10797460,1,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93422999999996,48.141651,15.347000000000001
2,10811496,0,19.89913995,175.850252,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134128999999994,15.436
3,10848459,0,1.7369524530000002,170.30756499999998,1.276,2.4064099999999997,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,285.53461,48.28521,15.597000000000001
4,10854555,1,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75487999999996,48.2262,15.509
5,10872983,1,11.09432054,171.20116000000002,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467,15.714
8,6721123,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,12.66
9,10910878,1,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841
10,11446443,1,2.470613377,122.763305,0.818,1.7431900000000002,14231.0,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.964,286.80847,49.316399,11.338
11,10666592,1,2.2047354169999998,121.35854170000002,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,292.24728,47.969521,10.463
12,6922244,1,3.5224984289999997,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.451,281.28812,42.45108,13.562999999999999
13,10984090,1,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,295.64871,48.49556,12.772
14,10419211,0,11.521446064000001,170.839688,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,5795.0,4.553999999999999,0.848,297.07993,47.597401,15.472000000000001
15,10464078,0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,5043.0,4.591,0.68,289.25821,47.635319,15.487
16,10480982,0,19.221388942,184.5521637,1.065,4.798430000000001,74284.0,49.29,698.0,55.97,2317.0,6117.0,4.496,0.947,295.81453999999997,47.69035,15.341
17,10485250,0,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595.0,29.61,303.4,5152.0,4.5169999999999995,0.786,297.15442,47.668701,15.788
18,10526549,1,9.27358173,173.25815500000002,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,4856.0,4.583,0.696,288.13824,47.724449,15.302
19,10583066,1,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,283.71088,47.86327,15.784
20,10583180,0,2.6963706519999997,170.73769,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.819,283.76547,47.804297999999996,15.269
21,10601284,1,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,292.37613,47.880989,15.415999999999999
25,10662202,1,21.67699193,171.53593999999998,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4954.0,4.5,0.828,290.46512,47.92918,15.377
26,10682541,1,4.99677968,171.74208000000002,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,5339.0,4.552,0.847,297.80826,47.946671,15.860999999999999
27,11460018,1,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,5644.0,4.564,0.831,294.26581,49.314091,15.356
28,11463211,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.1,5714.0,4.563,0.831,295.66522000000003,49.351009000000005,15.525
